03-09-26 69.0
PPCI&N;Abrev. Net. Name;MCC;MNC;Country Initials;Organisation;Network;SIM;Last Update
AeroMobile;AeroMob;901;14;AAA;AeroMobile AS;AeroMobile;8988299;2016-03-02 12:07:50
Telenor Maritime;TelenorM;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16 13:08:22
Telecom26;T26;901;46;AAM;Telecom26 AG;Telecom26;8988306;2020-04-28 14:22:39
Tampnet;Tampnet;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07 15:57:23
Tampnet;Tampnet;311;170;AAM;Tampnet AS;Tampnet;891170;2021-02-08 17:55:41
Inmarsat;INX;901;11;AAQ;Inmarsat Global Ltd;Inmarsat Global;8987099;2016-03-16 13:09:48
EchoStar Mobile;EML;901;50;AAQ;EchoStar Mobile Ltd;EchoStar Mobile Ltd;8988248;2016-02-02 16:32:42
Skylo Technologies;Skylo;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2025-01-15 17:14:54
Lynk;Lynk;314;590;AAQ;Lynk Global, Inc.;Lynk;;2024-02-19 14:26:13
OQ Technology;OQTEC;901;30;AAQ;OQ Technology;OQ Technology;;2024-10-21 16:47:45
Iridium;IRDM;901;03;AAQ;Iridium Satellite LLC;Iridium;8988161;2025-09-25 23:32:49
AW Digicel;Digicel;363;02;ABW;Digicel Aruba;Digicel;8929702;2016-01-12 18:34:59
SETAR;SETAR;363;01;ABW;SETAR;SETAR GSM;8929786;2019-07-31 14:40:56
Etisalat Af;Etisalat;412;50;AFG;Etisalat Afghanistan;Etisalat Afghanistan;8993501;2007-03-22 01:00:00
MTN AF;MTN;412;40;AFG;ATOMA;MTN Afghanistan;899340;2012-02-01 01:00:00
ROSHAN;ROSHAN;412;20;AFG;Telecom Development Company Afghanistan Limited;ROSHAN;899379;2011-10-20 01:00:00
AF AWCC;AWCC;412;01;AFG;Afghan Wireless Communication Company;AWCC;899301;2012-02-09 01:00:00
Flow;Flow;365;840;AIA;FLOW Anguilla;FLOW (LLA);8901010;2025-07-01 15:44:34
Voda AL;Voda AL;276;02;ALB;Vodafone Albania;Vodafone Albania;8935502;2016-12-20 15:36:31
One.al;One.al;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21 17:59:55
AndorraTelecom;AndorraT;213;03;AND;Andorra Telecom;ANDORRA TELECOM;8937603;2018-11-13 14:02:53
Telcell GSM;Telcell;362;51;ANT;Telcell N.V.;Telcell N.V.;8959951;2001-10-25 03:00:00
Flow;Flow;362;91;ANT;UTS N.V.;UTS(SETEL)- NETHERLANDS ANTILLES;8959991;2025-07-01 15:52:33
Digicel;Digicel;362;69;ANT;Digicel Curaçao;Digicel Curacao;8959969;2018-10-16 19:30:11
Kla;Kla;362;78;ANT;Telbo;Kla;8936278;2015-05-28 18:05:44
du;du;424;03;ARE;du;du;8997103;2016-02-04 11:41:25
ETISALAT;ETISALAT;424;02;ARE;Etisalat United Arab Emirates;ETISALAT;;2025-02-24 10:03:39
CLARO ARGENTINA;CLARO AR;722;310;ARG;Claro Argentina;Claro Argentina;895431;2025-09-08 21:21:44
Movistar;Tuenti;722;010;ARG;Movistar Argentina;Movistar;8954010;2025-04-04 16:10:42
Movistar;Movistar;722;07;ARG;Movistar Argentina;Movistar;895407;2025-04-04 16:10:42
AR PERSONAL;AR TP;722;34;ARG;Personal Argentina;Personal;8954341;2015-12-11 00:00:00
AR PERSONAL;AR TP;722;36;ARG;Personal Argentina;Personal;8954341;2015-12-11 00:00:00
Ucom AM;Ucom;283;10;ARM;Ucom;Ucom;8937410;2016-12-08 14:19:09
Viva;Viva;283;05;ARM;Viva Armenia;Viva Armenia;893749;2024-10-28 19:35:12
