07-08-24 59.0
PPCI&N;Abrev. Net. Name;Net. Type;MCC;MNC;Country Initials;Organisation;Network;SIM;Last Update
OnAir;OnAir;GSM 1800;901;15;AAA;SITA For Aircraft;ONAIR;8988298;2016-03-02
AeroMobile;AeroMob;GSM 1800;901;14;AAA;AeroMobile AS;AeroMobile;8988299;2016-03-02
Telenor Maritime;TelenorM;3G 1800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;3G 2100;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;GSM 1800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;GSM 1900;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;GSM 900;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;LTE 1800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;LTE 1900;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;LTE 800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telecom26;T26;GSM 1800;901;46;AAM;Telecom26 AG;Telecom26;8988306;2020-04-28
Telecom26;T26;GSM 900;901;46;AAM;Telecom26 AG;Telecom26;8988306;2020-04-28
Tampnet;Tampnet;GSM 1800;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;GSM 850;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 1800;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 2100;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 2600;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 700;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 800;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 850;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 900;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;GSM 850;311;170;AAM;Tampnet AS;Tampnet;891170;2019-03-19
Tampnet;Tampnet;LTE 2100;311;170;AAM;Tampnet AS;Tampnet;891170;2021-02-08
Tampnet;Tampnet;LTE 2600;311;170;AAM;Tampnet AS;Tampnet;891170;2021-02-08
Tampnet;Tampnet;LTE 850;311;170;AAM;Tampnet AS;Tampnet;891170;2019-12-09
Inmarsat;INX;GSM Satellite;901;11;AAQ;Inmarsat Global Ltd;Inmarsat Global;8987099;2016-03-16
EchoStar Mobile;EML;MSS 2000;901;50;AAQ;EchoStar Mobile Ltd;EchoStar Mobile Ltd;8988248;2016-02-02
Skylo Technologies;Skylo ;2G-GSM None;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Skylo Technologies;Skylo ;3G-UTRA/FDD None;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Skylo Technologies;Skylo ;3G-UTRA/TDD None;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Skylo Technologies;Skylo ;4G-E-UTRAN None;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Skylo Technologies;Skylo ;4G-E-UTRAN-MIoT-LTE-M-NTN None;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Skylo Technologies;Skylo ;4G-E-UTRAN-MIoT-NB-IoT-NTN 23 - 2 GHz  256 S-Band;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Skylo Technologies;Skylo ;4G-E-UTRAN-MIoT-NB-IoT-NTN 24 -  255 L Band;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Skylo Technologies;Skylo ;5G NR -NTN None;901;98;AAQ;Skylo Technologies, Inc.;Skylo;8990198;2024-02-08
Lynk;Lynk;GSM, LTE and 5G Various;314;590;AAQ;Lynk Global, Inc.;Lynk;;2024-02-19
AW Digicel;Digicel;3G 2100;363;02;ABW;Digicel Aruba;Digicel;8929702;2016-01-12
AW Digicel;Digicel;GSM 1800;363;02;ABW;Digicel Aruba;Digicel;8929702;2016-01-12
AW Digicel;Digicel;GSM 900;363;02;ABW;Digicel Aruba;Digicel;8929702;2016-01-12
SETAR;SETAR;3G 2100;363;01;ABW;SETAR;SETAR GSM;8929786;2015-11-19
SETAR;SETAR;3G 900;363;01;ABW;SETAR;SETAR GSM;8929786;2019-07-31
SETAR;SETAR;GSM 1800;363;01;ABW;SETAR;SETAR GSM;8929786;2015-11-19
SETAR;SETAR;GSM 900;363;01;ABW;SETAR;SETAR GSM;8929786;2015-11-19
SETAR;SETAR;LTE 1800;363;01;ABW;SETAR;SETAR GSM;8929786;2015-11-19
SETAR;SETAR;LTE-FDD 700;363;01;ABW;SETAR;SETAR GSM;8929786;2019-07-31
SETAR;SETAR;LTE-FDD 800;363;01;ABW;SETAR;SETAR GSM;8929786;2019-07-31
Etisalat Af;Etisalat;GSM 1800;412;50;AFG;Etisalat Afghanistan;Etisalat Afghanistan;8993501;2007-03-22
Etisalat Af;Etisalat;GSM 900;412;50;AFG;Etisalat Afghanistan;Etisalat Afghanistan;8993501;2007-03-22
MTN AF;MTN;GSM 1800;412;40;AFG;MTN Afghanistan;MTN Afghanistan;899340;2012-02-01
MTN AF;MTN;GSM 900;412;40;AFG;MTN Afghanistan;MTN Afghanistan;899340;2012-02-01
